onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
465.083	0.001	465084	Stimulus	S 40
465.54	0.001	465541	Stimulus	S 41
465.56	0.001	465561	Stimulus	S 44
465.601	0.001	465602	Stimulus	S  6
467.195	0.001	467196	Stimulus	S 21
468.698	0.001	468699	Stimulus	S 39
469.477	0.001	469478	Stimulus	S  6
471.053	0.001	471054	Stimulus	S 22
471.973	0.001	471974	Stimulus	S 37
471.994	0.001	471995	Stimulus	S 38
473.308	0.001	473309	Stimulus	S  1
474.885	0.001	474886	Stimulus	S 20
475.701	0.001	475702	Stimulus	S 37
475.721	0.001	475722	Stimulus	S 38
477.141	0.001	477142	Stimulus	S  6
478.718	0.001	478719	Stimulus	S 21
479.573	0.001	479574	Stimulus	S 37
479.595	0.001	479596	Stimulus	S 38
480.975	0.001	480976	Stimulus	S  1
482.553	0.001	482554	Stimulus	S 20
483.029	0.001	483030	Stimulus	S 37
483.049	0.001	483050	Stimulus	S 38
484.807	0.001	484808	Stimulus	S  1
486.384	0.001	486385	Stimulus	S 19
487.189	0.001	487190	Stimulus	S 37
487.209	0.001	487210	Stimulus	S 38
488.64	0.001	488641	Stimulus	S  6
490.217	0.001	490218	Stimulus	S 24
490.997	0.001	490998	Stimulus	S 37
491.018	0.001	491019	Stimulus	S 39
492.473	0.001	492474	Stimulus	S  1
494.048	0.001	494049	Stimulus	S 17
494.917	0.001	494918	Stimulus	S 37
494.937	0.001	494938	Stimulus	S 39
496.305	0.001	496306	Stimulus	S  6
497.883	0.001	497884	Stimulus	S 24
498.341	0.001	498342	Stimulus	S 37
498.361	0.001	498362	Stimulus	S 38
500.138	0.001	500139	Stimulus	S  6
501.717	0.001	501718	Stimulus	S 22
502.341	0.001	502342	Stimulus	S 37
502.361	0.001	502362	Stimulus	S 38
503.972	0.001	503973	Stimulus	S  1
505.55	0.001	505551	Stimulus	S 20
506.053	0.001	506054	Stimulus	S 37
506.073	0.001	506074	Stimulus	S 38
507.806	0.001	507807	Stimulus	S  6
509.385	0.001	509386	Stimulus	S 23
509.877	0.001	509878	Stimulus	S 37
509.897	0.001	509898	Stimulus	S 38
511.638	0.001	511639	Stimulus	S  1
513.215	0.001	513216	Stimulus	S 18
513.973	0.001	513974	Stimulus	S 37
513.993	0.001	513994	Stimulus	S 38
515.473	0.001	515474	Stimulus	S  1
517.053	0.001	517054	Stimulus	S 17
517.828	0.001	517829	Stimulus	S 37
517.849	0.001	517850	Stimulus	S 38
519.308	0.001	519309	Stimulus	S  6
520.884	0.001	520885	Stimulus	S 24
521.652	0.001	521653	Stimulus	S 37
521.673	0.001	521674	Stimulus	S 39
523.141	0.001	523142	Stimulus	S  1
524.716	0.001	524717	Stimulus	S 18
525.668	0.001	525669	Stimulus	S 37
525.689	0.001	525690	Stimulus	S 38
526.972	0.001	526973	Stimulus	S  6
528.549	0.001	528550	Stimulus	S 23
529.044	0.001	529045	Stimulus	S 37
529.066	0.001	529067	Stimulus	S 38
