onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
20.206	0.001	20207	Stimulus	S 40
24.032	0.001	24033	Stimulus	S 42
24.052	0.001	24053	Stimulus	S 44
26.102	0.001	26103	Stimulus	S  5
27.683	0.001	27684	Stimulus	S 23
28.15	0.001	28151	Stimulus	S 37
28.172	0.001	28173	Stimulus	S 38
28.202	0.001	28203	Stimulus	S 31
29.983	0.001	29984	Stimulus	S  5
31.564	0.001	31565	Stimulus	S 22
31.989	0.001	31990	Stimulus	S 37
32.009	0.001	32010	Stimulus	S 38
32.07	0.001	32071	Stimulus	S 30
33.848	0.001	33849	Stimulus	S  5
35.425	0.001	35426	Stimulus	S 22
35.893	0.001	35894	Stimulus	S 37
35.913	0.001	35914	Stimulus	S 38
35.936	0.001	35937	Stimulus	S 30
37.715	0.001	37716	Stimulus	S  5
39.294	0.001	39295	Stimulus	S 24
39.733	0.001	39734	Stimulus	S 37
39.753	0.001	39754	Stimulus	S 38
39.796	0.001	39797	Stimulus	S 32
41.575	0.001	41576	Stimulus	S  5
43.153	0.001	43154	Stimulus	S 23
43.656	0.001	43657	Stimulus	S 31
43.68	0.001	43681	Stimulus	S 37
43.701	0.001	43702	Stimulus	S 38
45.235	0.001	45236	Stimulus	S  2
46.811	0.001	46812	Stimulus	S 17
47.205	0.001	47206	Stimulus	S 37
47.227	0.001	47228	Stimulus	S 38
47.316	0.001	47317	Stimulus	S 25
49.101	0.001	49102	Stimulus	S  2
50.676	0.001	50677	Stimulus	S 19
51.18	0.001	51181	Stimulus	S 27
51.205	0.001	51206	Stimulus	S 37
51.225	0.001	51226	Stimulus	S 38
52.753	0.001	52754	Stimulus	S  5
54.33	0.001	54331	Stimulus	S 23
54.833	0.001	54834	Stimulus	S 31
54.854	0.001	54855	Stimulus	S 37
54.874	0.001	54875	Stimulus	S 38
56.405	0.001	56406	Stimulus	S  2
57.982	0.001	57983	Stimulus	S 18
58.373	0.001	58374	Stimulus	S 37
58.395	0.001	58396	Stimulus	S 38
58.487	0.001	58488	Stimulus	S 26
60.265	0.001	60266	Stimulus	S  2
61.842	0.001	61843	Stimulus	S 20
62.261	0.001	62262	Stimulus	S 37
62.281	0.001	62282	Stimulus	S 38
62.347	0.001	62348	Stimulus	S 28
64.125	0.001	64126	Stimulus	S  5
65.702	0.001	65703	Stimulus	S 24
66.181	0.001	66182	Stimulus	S 37
66.201	0.001	66202	Stimulus	S 38
66.224	0.001	66225	Stimulus	S 32
68.003	0.001	68004	Stimulus	S  2
69.579	0.001	69580	Stimulus	S 17
70.004	0.001	70005	Stimulus	S 37
70.025	0.001	70026	Stimulus	S 38
70.084	0.001	70085	Stimulus	S 25
71.861	0.001	71862	Stimulus	S  5
73.438	0.001	73439	Stimulus	S 21
73.86	0.001	73861	Stimulus	S 37
73.88	0.001	73881	Stimulus	S 38
73.944	0.001	73945	Stimulus	S 29
75.721	0.001	75722	Stimulus	S  2
77.294	0.001	77295	Stimulus	S 19
77.732	0.001	77733	Stimulus	S 37
77.753	0.001	77754	Stimulus	S 38
77.8	0.001	77801	Stimulus	S 27
79.754	0.001	79755	Stimulus	S  5
81.586	0.001	81587	Stimulus	S 22
81.988	0.001	81989	Stimulus	S 37
82.008	0.001	82009	Stimulus	S 38
82.092	0.001	82093	Stimulus	S 30
83.867	0.001	83868	Stimulus	S  5
85.443	0.001	85444	Stimulus	S 24
85.945	0.001	85946	Stimulus	S 32
85.966	0.001	85967	Stimulus	S 37
85.986	0.001	85987	Stimulus	S 38
87.512	0.001	87513	Stimulus	S  2
89.087	0.001	89088	Stimulus	S 18
89.589	0.001	89590	Stimulus	S 26
89.621	0.001	89622	Stimulus	S 37
89.642	0.001	89643	Stimulus	S 38
91.169	0.001	91170	Stimulus	S  2
92.746	0.001	92747	Stimulus	S 17
93.172	0.001	93173	Stimulus	S 37
93.192	0.001	93193	Stimulus	S 38
93.249	0.001	93250	Stimulus	S 25
95.027	0.001	95028	Stimulus	S  2
96.603	0.001	96604	Stimulus	S 20
97.012	0.001	97013	Stimulus	S 37
97.032	0.001	97033	Stimulus	S 38
97.108	0.001	97109	Stimulus	S 28
98.885	0.001	98886	Stimulus	S  2
100.461	0.001	100462	Stimulus	S 20
100.963	0.001	100964	Stimulus	S 28
101.044	0.001	101045	Stimulus	S 37
101.066	0.001	101067	Stimulus	S 38
102.595	0.001	102596	Stimulus	S  5
104.172	0.001	104173	Stimulus	S 21
104.675	0.001	104676	Stimulus	S 29
104.698	0.001	104699	Stimulus	S 37
104.719	0.001	104720	Stimulus	S 38
106.25	0.001	106251	Stimulus	S  2
107.825	0.001	107826	Stimulus	S 18
108.244	0.001	108245	Stimulus	S 37
108.265	0.001	108266	Stimulus	S 38
108.33	0.001	108331	Stimulus	S 26
110.109	0.001	110110	Stimulus	S  2
111.685	0.001	111686	Stimulus	S 19
112.052	0.001	112053	Stimulus	S 37
112.072	0.001	112073	Stimulus	S 38
112.19	0.001	112191	Stimulus	S 27
113.969	0.001	113970	Stimulus	S  5
115.546	0.001	115547	Stimulus	S 21
116.048	0.001	116049	Stimulus	S 29
116.068	0.001	116069	Stimulus	S 37
116.089	0.001	116090	Stimulus	S 38
122.254	0.001	122255	Stimulus	S 43
122.274	0.001	122275	Stimulus	S 45
122.815	0.001	122816	Stimulus	S 36
124.068	0.001	124069	Stimulus	S 38
124.601	0.001	124602	Stimulus	S 36
125.853	0.001	125854	Stimulus	S 38
126.388	0.001	126389	Stimulus	S 34
127.64	0.001	127641	Stimulus	S 38
128.17	0.001	128171	Stimulus	S 36
129.423	0.001	129424	Stimulus	S 38
129.956	0.001	129957	Stimulus	S 36
131.208	0.001	131209	Stimulus	S 38
131.746	0.001	131747	Stimulus	S 34
132.998	0.001	132999	Stimulus	S 38
133.535	0.001	133536	Stimulus	S 34
134.786	0.001	134787	Stimulus	S 38
135.327	0.001	135328	Stimulus	S 34
136.579	0.001	136580	Stimulus	S 38
137.112	0.001	137113	Stimulus	S 34
138.364	0.001	138365	Stimulus	S 38
138.898	0.001	138899	Stimulus	S 36
140.151	0.001	140152	Stimulus	S 38
140.684	0.001	140685	Stimulus	S 34
141.936	0.001	141937	Stimulus	S 38
142.467	0.001	142468	Stimulus	S 34
143.72	0.001	143721	Stimulus	S 38
144.253	0.001	144254	Stimulus	S 36
145.505	0.001	145506	Stimulus	S 38
146.037	0.001	146038	Stimulus	S 34
147.289	0.001	147290	Stimulus	S 38
147.823	0.001	147824	Stimulus	S 34
149.075	0.001	149076	Stimulus	S 38
149.607	0.001	149608	Stimulus	S 34
150.859	0.001	150860	Stimulus	S 38
151.392	0.001	151393	Stimulus	S 34
152.644	0.001	152645	Stimulus	S 38
153.179	0.001	153180	Stimulus	S 36
154.431	0.001	154432	Stimulus	S 38
154.962	0.001	154963	Stimulus	S 33
155.364	0.001	155365	Stimulus	S 38
156.723	0.001	156724	Stimulus	S 36
157.975	0.001	157976	Stimulus	S 38
158.519	0.001	158520	Stimulus	S 36
159.771	0.001	159772	Stimulus	S 38
160.303	0.001	160304	Stimulus	S 35
160.707	0.001	160708	Stimulus	S 38
162.063	0.001	162064	Stimulus	S 36
163.315	0.001	163316	Stimulus	S 38
163.856	0.001	163857	Stimulus	S 36
165.108	0.001	165109	Stimulus	S 38
180.67	0.001	180671	Stimulus	S 41
180.69	0.001	180691	Stimulus	S 46
182.722	0.001	182723	Stimulus	S  8
184.304	0.001	184305	Stimulus	S 23
184.739	0.001	184740	Stimulus	S 37
184.76	0.001	184761	Stimulus	S 38
186.561	0.001	186562	Stimulus	S  3
188.139	0.001	188140	Stimulus	S 18
188.547	0.001	188548	Stimulus	S 37
188.567	0.001	188568	Stimulus	S 38
190.398	0.001	190399	Stimulus	S  8
191.976	0.001	191977	Stimulus	S 24
192.531	0.001	192532	Stimulus	S 37
192.551	0.001	192552	Stimulus	S 38
194.235	0.001	194236	Stimulus	S  3
195.811	0.001	195812	Stimulus	S 19
196.275	0.001	196276	Stimulus	S 37
196.295	0.001	196296	Stimulus	S 38
198.066	0.001	198067	Stimulus	S  8
199.643	0.001	199644	Stimulus	S 21
200.147	0.001	200148	Stimulus	S 37
200.168	0.001	200169	Stimulus	S 38
201.899	0.001	201900	Stimulus	S  3
203.477	0.001	203478	Stimulus	S 19
203.859	0.001	203860	Stimulus	S 37
203.881	0.001	203882	Stimulus	S 38
205.735	0.001	205736	Stimulus	S  3
207.311	0.001	207312	Stimulus	S 20
207.827	0.001	207828	Stimulus	S 37
207.847	0.001	207848	Stimulus	S 38
209.568	0.001	209569	Stimulus	S  8
211.144	0.001	211145	Stimulus	S 24
211.715	0.001	211716	Stimulus	S 37
211.736	0.001	211737	Stimulus	S 38
213.402	0.001	213403	Stimulus	S  8
214.979	0.001	214980	Stimulus	S 24
215.571	0.001	215572	Stimulus	S 37
215.591	0.001	215592	Stimulus	S 38
217.235	0.001	217236	Stimulus	S  3
218.811	0.001	218812	Stimulus	S 17
219.25	0.001	219251	Stimulus	S 37
219.272	0.001	219273	Stimulus	S 38
221.067	0.001	221068	Stimulus	S  3
222.643	0.001	222644	Stimulus	S 20
223.09	0.001	223091	Stimulus	S 37
223.11	0.001	223111	Stimulus	S 38
224.898	0.001	224899	Stimulus	S  8
226.474	0.001	226475	Stimulus	S 22
227.17	0.001	227171	Stimulus	S 37
227.191	0.001	227192	Stimulus	S 38
228.73	0.001	228731	Stimulus	S  3
230.306	0.001	230307	Stimulus	S 18
230.85	0.001	230851	Stimulus	S 37
230.871	0.001	230872	Stimulus	S 38
232.562	0.001	232563	Stimulus	S  8
234.14	0.001	234141	Stimulus	S 23
234.658	0.001	234659	Stimulus	S 37
234.679	0.001	234680	Stimulus	S 38
236.395	0.001	236396	Stimulus	S  3
237.972	0.001	237973	Stimulus	S 17
238.626	0.001	238627	Stimulus	S 37
238.646	0.001	238647	Stimulus	S 38
240.228	0.001	240229	Stimulus	S  8
241.806	0.001	241807	Stimulus	S 23
242.354	0.001	242355	Stimulus	S 37
242.375	0.001	242376	Stimulus	S 38
244.06	0.001	244061	Stimulus	S  8
245.636	0.001	245637	Stimulus	S 21
246.146	0.001	246147	Stimulus	S 37
246.166	0.001	246167	Stimulus	S 38
247.891	0.001	247892	Stimulus	S  8
249.468	0.001	249469	Stimulus	S 21
250.05	0.001	250051	Stimulus	S 37
250.07	0.001	250071	Stimulus	S 38
251.724	0.001	251725	Stimulus	S  8
253.301	0.001	253302	Stimulus	S 22
253.938	0.001	253939	Stimulus	S 37
253.958	0.001	253959	Stimulus	S 38
255.555	0.001	255556	Stimulus	S  3
257.129	0.001	257130	Stimulus	S 17
