onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
12.391	0.001	12392	Stimulus	S 40
18.891	0.001	18892	Stimulus	S 43
18.912	0.001	18913	Stimulus	S 44
19.456	0.001	19457	Stimulus	S 36
20.708	0.001	20709	Stimulus	S 38
21.245	0.001	21246	Stimulus	S 36
22.496	0.001	22497	Stimulus	S 38
23.026	0.001	23027	Stimulus	S 34
24.278	0.001	24279	Stimulus	S 38
24.811	0.001	24812	Stimulus	S 34
26.063	0.001	26064	Stimulus	S 38
26.596	0.001	26597	Stimulus	S 36
27.847	0.001	27848	Stimulus	S 38
28.383	0.001	28384	Stimulus	S 36
29.635	0.001	29636	Stimulus	S 38
30.166	0.001	30167	Stimulus	S 34
31.418	0.001	31419	Stimulus	S 38
31.955	0.001	31956	Stimulus	S 36
33.207	0.001	33208	Stimulus	S 38
33.736	0.001	33737	Stimulus	S 36
34.988	0.001	34989	Stimulus	S 38
35.522	0.001	35523	Stimulus	S 34
36.773	0.001	36774	Stimulus	S 38
37.31	0.001	37311	Stimulus	S 35
37.821	0.001	37822	Stimulus	S 38
39.07	0.001	39071	Stimulus	S 34
40.322	0.001	40323	Stimulus	S 38
40.86	0.001	40861	Stimulus	S 36
42.111	0.001	42112	Stimulus	S 38
42.644	0.001	42645	Stimulus	S 34
43.896	0.001	43897	Stimulus	S 38
44.429	0.001	44430	Stimulus	S 33
44.925	0.001	44926	Stimulus	S 38
46.188	0.001	46189	Stimulus	S 36
47.44	0.001	47441	Stimulus	S 38
47.968	0.001	47969	Stimulus	S 36
49.22	0.001	49221	Stimulus	S 38
49.751	0.001	49752	Stimulus	S 34
51.003	0.001	51004	Stimulus	S 38
51.536	0.001	51537	Stimulus	S 34
52.788	0.001	52789	Stimulus	S 38
53.324	0.001	53325	Stimulus	S 36
54.576	0.001	54577	Stimulus	S 38
55.107	0.001	55108	Stimulus	S 36
56.359	0.001	56360	Stimulus	S 38
56.892	0.001	56893	Stimulus	S 34
58.144	0.001	58145	Stimulus	S 38
58.676	0.001	58677	Stimulus	S 34
59.928	0.001	59929	Stimulus	S 38
60.461	0.001	60462	Stimulus	S 34
61.713	0.001	61714	Stimulus	S 38
75.898	0.001	75899	Stimulus	S 41
75.919	0.001	75920	Stimulus	S 45
77.962	0.001	77963	Stimulus	S  2
79.543	0.001	79544	Stimulus	S 18
80.221	0.001	80222	Stimulus	S 37
80.242	0.001	80243	Stimulus	S 38
81.804	0.001	81805	Stimulus	S  2
83.386	0.001	83387	Stimulus	S 17
83.852	0.001	83853	Stimulus	S 37
83.872	0.001	83873	Stimulus	S 38
85.643	0.001	85644	Stimulus	S  5
87.22	0.001	87221	Stimulus	S 23
87.628	0.001	87629	Stimulus	S 37
87.649	0.001	87650	Stimulus	S 38
89.476	0.001	89477	Stimulus	S  5
91.057	0.001	91058	Stimulus	S 21
91.436	0.001	91437	Stimulus	S 37
