onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
138.394	0.001	138395	Stimulus	S 40
143.318	0.001	143319	Stimulus	S 43
143.338	0.001	143339	Stimulus	S 44
143.89	0.001	143891	Stimulus	S 36
145.142	0.001	145143	Stimulus	S 38
145.675	0.001	145676	Stimulus	S 36
146.927	0.001	146928	Stimulus	S 38
147.46	0.001	147461	Stimulus	S 36
148.711	0.001	148712	Stimulus	S 38
149.244	0.001	149245	Stimulus	S 36
150.496	0.001	150497	Stimulus	S 38
151.03	0.001	151031	Stimulus	S 36
152.282	0.001	152283	Stimulus	S 38
152.82	0.001	152821	Stimulus	S 33
153.239	0.001	153240	Stimulus	S 38
154.585	0.001	154586	Stimulus	S 34
155.837	0.001	155838	Stimulus	S 38
156.374	0.001	156375	Stimulus	S 36
157.627	0.001	157628	Stimulus	S 38
158.156	0.001	158157	Stimulus	S 34
159.407	0.001	159408	Stimulus	S 38
159.938	0.001	159939	Stimulus	S 34
161.19	0.001	161191	Stimulus	S 38
161.724	0.001	161725	Stimulus	S 36
162.976	0.001	162977	Stimulus	S 38
163.508	0.001	163509	Stimulus	S 34
164.76	0.001	164761	Stimulus	S 38
165.294	0.001	165295	Stimulus	S 36
166.546	0.001	166547	Stimulus	S 38
167.077	0.001	167078	Stimulus	S 34
168.329	0.001	168330	Stimulus	S 38
168.864	0.001	168865	Stimulus	S 35
169.351	0.001	169352	Stimulus	S 38
170.625	0.001	170626	Stimulus	S 36
171.877	0.001	171878	Stimulus	S 38
172.417	0.001	172418	Stimulus	S 34
173.669	0.001	173670	Stimulus	S 38
174.203	0.001	174204	Stimulus	S 34
175.454	0.001	175455	Stimulus	S 38
175.986	0.001	175987	Stimulus	S 34
177.238	0.001	177239	Stimulus	S 38
177.772	0.001	177773	Stimulus	S 34
179.024	0.001	179025	Stimulus	S 38
179.557	0.001	179558	Stimulus	S 36
180.809	0.001	180810	Stimulus	S 38
181.342	0.001	181343	Stimulus	S 34
182.594	0.001	182595	Stimulus	S 38
183.128	0.001	183129	Stimulus	S 34
184.38	0.001	184381	Stimulus	S 38
184.913	0.001	184914	Stimulus	S 36
186.165	0.001	186166	Stimulus	S 38
215.314	0.001	215315	Stimulus	S 41
215.335	0.001	215336	Stimulus	S 45
217.378	0.001	217379	Stimulus	S  5
218.96	0.001	218961	Stimulus	S 24
219.654	0.001	219655	Stimulus	S 37
219.675	0.001	219676	Stimulus	S 38
221.215	0.001	221216	Stimulus	S  5
222.794	0.001	222795	Stimulus	S 22
223.558	0.001	223559	Stimulus	S 37
223.579	0.001	223580	Stimulus	S 38
225.051	0.001	225052	Stimulus	S  2
226.628	0.001	226629	Stimulus	S 19
227.174	0.001	227175	Stimulus	S 37
227.194	0.001	227195	Stimulus	S 38
228.883	0.001	228884	Stimulus	S  5
230.461	0.001	230462	Stimulus	S 23
230.934	0.001	230935	Stimulus	S 37
