onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
22.869	0.001	22870	Stimulus	S 40
24.931	0.001	24932	Stimulus	S 43
24.954	0.001	24955	Stimulus	S 44
25.536	0.001	25537	Stimulus	S 36
26.79	0.001	26791	Stimulus	S 38
27.333	0.001	27334	Stimulus	S 36
28.585	0.001	28586	Stimulus	S 38
29.118	0.001	29119	Stimulus	S 36
30.371	0.001	30372	Stimulus	S 38
30.901	0.001	30902	Stimulus	S 36
32.153	0.001	32154	Stimulus	S 38
32.694	0.001	32695	Stimulus	S 36
33.948	0.001	33949	Stimulus	S 38
34.488	0.001	34489	Stimulus	S 33
34.937	0.001	34938	Stimulus	S 38
36.252	0.001	36253	Stimulus	S 34
37.504	0.001	37505	Stimulus	S 38
38.042	0.001	38043	Stimulus	S 36
39.294	0.001	39295	Stimulus	S 38
39.836	0.001	39837	Stimulus	S 34
41.087	0.001	41088	Stimulus	S 38
41.628	0.001	41629	Stimulus	S 34
42.88	0.001	42881	Stimulus	S 38
43.413	0.001	43414	Stimulus	S 36
44.666	0.001	44667	Stimulus	S 38
45.198	0.001	45199	Stimulus	S 34
46.45	0.001	46451	Stimulus	S 38
46.983	0.001	46984	Stimulus	S 36
48.235	0.001	48236	Stimulus	S 38
48.768	0.001	48769	Stimulus	S 34
50.02	0.001	50021	Stimulus	S 38
50.559	0.001	50560	Stimulus	S 35
51.08	0.001	51081	Stimulus	S 38
52.321	0.001	52322	Stimulus	S 36
53.573	0.001	53574	Stimulus	S 38
54.106	0.001	54107	Stimulus	S 34
55.358	0.001	55359	Stimulus	S 38
55.892	0.001	55893	Stimulus	S 34
57.144	0.001	57145	Stimulus	S 38
57.676	0.001	57677	Stimulus	S 34
58.928	0.001	58929	Stimulus	S 38
59.461	0.001	59462	Stimulus	S 34
60.712	0.001	60713	Stimulus	S 38
61.248	0.001	61249	Stimulus	S 36
62.499	0.001	62500	Stimulus	S 38
63.031	0.001	63032	Stimulus	S 34
64.283	0.001	64284	Stimulus	S 38
64.816	0.001	64817	Stimulus	S 34
66.068	0.001	66069	Stimulus	S 38
66.602	0.001	66603	Stimulus	S 36
67.854	0.001	67855	Stimulus	S 38
86.261	0.001	86262	Stimulus	S 42
86.281	0.001	86282	Stimulus	S 45
88.339	0.001	88340	Stimulus	S  5
89.918	0.001	89919	Stimulus	S 24
90.421	0.001	90422	Stimulus	S 32
90.444	0.001	90445	Stimulus	S 37
90.466	0.001	90467	Stimulus	S 38
91.995	0.001	91996	Stimulus	S  5
93.575	0.001	93576	Stimulus	S 22
93.992	0.001	93993	Stimulus	S 37
94.012	0.001	94013	Stimulus	S 38
94.079	0.001	94080	Stimulus	S 30
95.86	0.001	95861	Stimulus	S  3
97.438	0.001	97439	Stimulus	S 19
97.928	0.001	97929	Stimulus	S 37
