onset	duration	sample	type	value
0	0.001	1	New Segment	n/a
1.354	0.001	1355	Stimulus	S 18
1.857	0.001	1858	Stimulus	S 26
1.965	0.001	1966	Stimulus	S 37
1.987	0.001	1988	Stimulus	S 38
3.517	0.001	3518	Stimulus	S  3
5.094	0.001	5095	Stimulus	S 17
5.596	0.001	5597	Stimulus	S 25
5.629	0.001	5630	Stimulus	S 37
5.652	0.001	5653	Stimulus	S 38
7.184	0.001	7185	Stimulus	S  8
8.762	0.001	8763	Stimulus	S 24
9.15	0.001	9151	Stimulus	S 37
9.17	0.001	9171	Stimulus	S 38
9.274	0.001	9275	Stimulus	S 32
11.055	0.001	11056	Stimulus	S  3
12.632	0.001	12633	Stimulus	S 20
13.021	0.001	13022	Stimulus	S 37
13.041	0.001	13042	Stimulus	S 38
13.137	0.001	13138	Stimulus	S 28
14.917	0.001	14918	Stimulus	S  8
16.495	0.001	16496	Stimulus	S 23
16.909	0.001	16910	Stimulus	S 37
16.931	0.001	16932	Stimulus	S 38
16.999	0.001	17000	Stimulus	S 31
18.775	0.001	18776	Stimulus	S  8
20.352	0.001	20353	Stimulus	S 21
20.856	0.001	20857	Stimulus	S 29
21.037	0.001	21038	Stimulus	S 37
21.059	0.001	21060	Stimulus	S 38
22.587	0.001	22588	Stimulus	S  3
24.164	0.001	24165	Stimulus	S 20
24.666	0.001	24667	Stimulus	S 28
24.687	0.001	24688	Stimulus	S 37
24.707	0.001	24708	Stimulus	S 38
26.237	0.001	26238	Stimulus	S  8
27.815	0.001	27816	Stimulus	S 22
28.317	0.001	28318	Stimulus	S 30
28.349	0.001	28350	Stimulus	S 37
28.369	0.001	28370	Stimulus	S 38
29.897	0.001	29898	Stimulus	S  3
31.474	0.001	31475	Stimulus	S 19
31.885	0.001	31886	Stimulus	S 37
31.906	0.001	31907	Stimulus	S 38
31.98	0.001	31981	Stimulus	S 27
33.758	0.001	33759	Stimulus	S  3
35.335	0.001	35336	Stimulus	S 17
35.757	0.001	35758	Stimulus	S 37
35.777	0.001	35778	Stimulus	S 38
35.84	0.001	35841	Stimulus	S 25
37.618	0.001	37619	Stimulus	S  3
39.194	0.001	39195	Stimulus	S 19
39.581	0.001	39582	Stimulus	S 37
39.601	0.001	39602	Stimulus	S 38
39.699	0.001	39700	Stimulus	S 27
41.477	0.001	41478	Stimulus	S  8
43.054	0.001	43055	Stimulus	S 22
43.556	0.001	43557	Stimulus	S 30
44.269	0.001	44270	Stimulus	S 37
44.29	0.001	44291	Stimulus	S 38
45.315	0.001	45316	Stimulus	S  8
46.892	0.001	46893	Stimulus	S 21
47.388	0.001	47389	Stimulus	S 37
47.409	0.001	47410	Stimulus	S 38
47.434	0.001	47435	Stimulus	S 29
49.211	0.001	49212	Stimulus	S  8
50.788	0.001	50789	Stimulus	S 21
51.29	0.001	51291	Stimulus	S 29
51.372	0.001	51373	Stimulus	S 37
51.394	0.001	51395	Stimulus	S 39
54.475	0.001	54476	Stimulus	S  3
56.051	0.001	56052	Stimulus	S 19
56.492	0.001	56493	Stimulus	S 37
56.513	0.001	56514	Stimulus	S 38
56.553	0.001	56554	Stimulus	S 27
58.332	0.001	58333	Stimulus	S  8
59.908	0.001	59909	Stimulus	S 24
60.41	0.001	60411	Stimulus	S 32
60.46	0.001	60461	Stimulus	S 37
60.48	0.001	60481	Stimulus	S 38
62.007	0.001	62008	Stimulus	S  3
63.584	0.001	63585	Stimulus	S 18
64.044	0.001	64045	Stimulus	S 37
64.064	0.001	64065	Stimulus	S 38
64.087	0.001	64088	Stimulus	S 26
65.864	0.001	65865	Stimulus	S  3
67.44	0.001	67441	Stimulus	S 17
67.916	0.001	67917	Stimulus	S 37
67.936	0.001	67937	Stimulus	S 38
67.959	0.001	67960	Stimulus	S 25
69.737	0.001	69738	Stimulus	S  8
71.314	0.001	71315	Stimulus	S 22
71.817	0.001	71818	Stimulus	S 30
71.852	0.001	71853	Stimulus	S 37
71.873	0.001	71874	Stimulus	S 38
73.4	0.001	73401	Stimulus	S  3
74.976	0.001	74977	Stimulus	S 18
75.478	0.001	75479	Stimulus	S 26
75.644	0.001	75645	Stimulus	S 37
75.664	0.001	75665	Stimulus	S 38
77.193	0.001	77194	Stimulus	S  8
78.77	0.001	78771	Stimulus	S 23
79.196	0.001	79197	Stimulus	S 37
79.216	0.001	79217	Stimulus	S 38
79.273	0.001	79274	Stimulus	S 31
81.05	0.001	81051	Stimulus	S  8
82.627	0.001	82628	Stimulus	S 23
83.129	0.001	83130	Stimulus	S 31
83.15	0.001	83151	Stimulus	S 37
83.17	0.001	83171	Stimulus	S 38
92.328	0.001	92329	Stimulus	S 43
92.349	0.001	92350	Stimulus	S 45
92.899	0.001	92900	Stimulus	S 34
94.152	0.001	94153	Stimulus	S 38
94.684	0.001	94685	Stimulus	S 36
95.936	0.001	95937	Stimulus	S 38
96.469	0.001	96470	Stimulus	S 34
97.721	0.001	97722	Stimulus	S 38
98.254	0.001	98255	Stimulus	S 35
98.684	0.001	98685	Stimulus	S 38
100.013	0.001	100014	Stimulus	S 36
101.264	0.001	101265	Stimulus	S 38
101.806	0.001	101807	Stimulus	S 34
103.057	0.001	103058	Stimulus	S 38
103.595	0.001	103596	Stimulus	S 36
104.848	0.001	104849	Stimulus	S 38
105.383	0.001	105384	Stimulus	S 36
106.635	0.001	106636	Stimulus	S 38
107.163	0.001	107164	Stimulus	S 34
108.415	0.001	108416	Stimulus	S 38
108.946	0.001	108947	Stimulus	S 34
110.198	0.001	110199	Stimulus	S 38
110.732	0.001	110733	Stimulus	S 34
111.984	0.001	111985	Stimulus	S 38
112.517	0.001	112518	Stimulus	S 36
113.769	0.001	113770	Stimulus	S 38
114.302	0.001	114303	Stimulus	S 33
114.828	0.001	114829	Stimulus	S 38
116.063	0.001	116064	Stimulus	S 34
117.315	0.001	117316	Stimulus	S 38
117.856	0.001	117857	Stimulus	S 36
119.107	0.001	119108	Stimulus	S 38
119.641	0.001	119642	Stimulus	S 34
120.892	0.001	120893	Stimulus	S 38
121.427	0.001	121428	Stimulus	S 36
122.679	0.001	122680	Stimulus	S 38
123.211	0.001	123212	Stimulus	S 36
124.463	0.001	124464	Stimulus	S 38
124.997	0.001	124998	Stimulus	S 36
126.249	0.001	126250	Stimulus	S 38
126.78	0.001	126781	Stimulus	S 34
128.032	0.001	128033	Stimulus	S 38
128.566	0.001	128567	Stimulus	S 36
129.818	0.001	129819	Stimulus	S 38
130.352	0.001	130353	Stimulus	S 36
131.604	0.001	131605	Stimulus	S 38
132.135	0.001	132136	Stimulus	S 34
133.387	0.001	133388	Stimulus	S 38
133.922	0.001	133923	Stimulus	S 34
135.174	0.001	135175	Stimulus	S 38
151.732	0.001	151733	Stimulus	S 41
151.753	0.001	151754	Stimulus	S 46
153.789	0.001	153790	Stimulus	S  5
155.366	0.001	155367	Stimulus	S 23
155.836	0.001	155837	Stimulus	S 37
155.857	0.001	155858	Stimulus	S 38
157.62	0.001	157621	Stimulus	S  5
159.197	0.001	159198	Stimulus	S 21
159.659	0.001	159660	Stimulus	S 37
159.679	0.001	159680	Stimulus	S 38
161.454	0.001	161455	Stimulus	S  5
