onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
18.152	0.001	18153	Stimulus	S 40
28.011	0.001	28012	Stimulus	S 41
28.034	0.001	28035	Stimulus	S 44
30.072	0.001	30073	Stimulus	S  6
31.655	0.001	31656	Stimulus	S 23
32.253	0.001	32254	Stimulus	S 37
32.275	0.001	32276	Stimulus	S 38
33.918	0.001	33919	Stimulus	S  6
35.497	0.001	35498	Stimulus	S 22
35.932	0.001	35933	Stimulus	S 37
35.953	0.001	35954	Stimulus	S 39
39.578	0.001	39579	Stimulus	S  6
41.155	0.001	41156	Stimulus	S 22
41.82	0.001	41821	Stimulus	S 37
41.841	0.001	41842	Stimulus	S 38
43.41	0.001	43411	Stimulus	S  6
44.988	0.001	44989	Stimulus	S 24
45.5	0.001	45501	Stimulus	S 37
45.522	0.001	45523	Stimulus	S 38
47.248	0.001	47249	Stimulus	S  6
48.827	0.001	48828	Stimulus	S 23
49.372	0.001	49373	Stimulus	S 37
49.393	0.001	49394	Stimulus	S 38
51.089	0.001	51090	Stimulus	S  1
52.668	0.001	52669	Stimulus	S 17
53.068	0.001	53069	Stimulus	S 37
53.089	0.001	53090	Stimulus	S 38
54.926	0.001	54927	Stimulus	S  1
56.505	0.001	56506	Stimulus	S 19
56.844	0.001	56845	Stimulus	S 37
56.865	0.001	56866	Stimulus	S 38
58.76	0.001	58761	Stimulus	S  6
60.339	0.001	60340	Stimulus	S 23
60.796	0.001	60797	Stimulus	S 37
60.817	0.001	60818	Stimulus	S 38
62.596	0.001	62597	Stimulus	S  1
64.175	0.001	64176	Stimulus	S 18
64.651	0.001	64652	Stimulus	S 37
64.672	0.001	64673	Stimulus	S 38
66.431	0.001	66432	Stimulus	S  1
68.007	0.001	68008	Stimulus	S 20
68.635	0.001	68636	Stimulus	S 37
68.657	0.001	68658	Stimulus	S 38
70.263	0.001	70264	Stimulus	S  6
71.842	0.001	71843	Stimulus	S 24
72.299	0.001	72300	Stimulus	S 37
72.321	0.001	72322	Stimulus	S 38
74.097	0.001	74098	Stimulus	S  1
75.675	0.001	75676	Stimulus	S 17
76.123	0.001	76124	Stimulus	S 37
76.144	0.001	76145	Stimulus	S 38
77.931	0.001	77932	Stimulus	S  6
79.51	0.001	79511	Stimulus	S 21
80.027	0.001	80028	Stimulus	S 37
80.048	0.001	80049	Stimulus	S 38
81.767	0.001	81768	Stimulus	S  1
83.345	0.001	83346	Stimulus	S 19
83.963	0.001	83964	Stimulus	S 37
83.984	0.001	83985	Stimulus	S 38
85.601	0.001	85602	Stimulus	S  6
87.179	0.001	87180	Stimulus	S 22
87.643	0.001	87644	Stimulus	S 37
87.663	0.001	87664	Stimulus	S 38
89.433	0.001	89434	Stimulus	S  6
91.012	0.001	91013	Stimulus	S 24
91.403	0.001	91404	Stimulus	S 37
91.423	0.001	91424	Stimulus	S 38
93.267	0.001	93268	Stimulus	S  1
94.846	0.001	94847	Stimulus	S 18
95.387	0.001	95388	Stimulus	S 37
95.409	0.001	95410	Stimulus	S 38
97.101	0.001	97102	Stimulus	S  1
98.679	0.001	98680	Stimulus	S 17
99.099	0.001	99100	Stimulus	S 37
99.12	0.001	99121	Stimulus	S 38
100.934	0.001	100935	Stimulus	S  1
102.513	0.001	102514	Stimulus	S 20
102.923	0.001	102924	Stimulus	S 37
102.944	0.001	102945	Stimulus	S 38
104.769	0.001	104770	Stimulus	S  1
106.348	0.001	106349	Stimulus	S 20
106.907	0.001	106908	Stimulus	S 37
106.928	0.001	106929	Stimulus	S 38
108.604	0.001	108605	Stimulus	S  6
110.181	0.001	110182	Stimulus	S 21
110.763	0.001	110764	Stimulus	S 37
110.784	0.001	110785	Stimulus	S 38
112.437	0.001	112438	Stimulus	S  1
114.016	0.001	114017	Stimulus	S 18
114.667	0.001	114668	Stimulus	S 37
114.688	0.001	114689	Stimulus	S 38
116.273	0.001	116274	Stimulus	S  1
117.85	0.001	117851	Stimulus	S 19
118.379	0.001	118380	Stimulus	S 37
118.4	0.001	118401	Stimulus	S 38
120.105	0.001	120106	Stimulus	S  6
121.684	0.001	121685	Stimulus	S 21
122.091	0.001	122092	Stimulus	S 37
122.111	0.001	122112	Stimulus	S 38
127.161	0.001	127162	Stimulus	S 43
127.183	0.001	127184	Stimulus	S 45
127.737	0.001	127738	Stimulus	S 36
128.989	0.001	128990	Stimulus	S 38
129.521	0.001	129522	Stimulus	S 36
130.772	0.001	130773	Stimulus	S 38
131.305	0.001	131306	Stimulus	S 34
132.557	0.001	132558	Stimulus	S 38
133.091	0.001	133092	Stimulus	S 36
134.343	0.001	134344	Stimulus	S 38
134.876	0.001	134877	Stimulus	S 36
136.127	0.001	136128	Stimulus	S 38
136.661	0.001	136662	Stimulus	S 34
137.912	0.001	137913	Stimulus	S 38
138.445	0.001	138446	Stimulus	S 34
139.697	0.001	139698	Stimulus	S 38
140.23	0.001	140231	Stimulus	S 34
141.482	0.001	141483	Stimulus	S 38
142.014	0.001	142015	Stimulus	S 34
143.266	0.001	143267	Stimulus	S 38
143.801	0.001	143802	Stimulus	S 36
145.054	0.001	145055	Stimulus	S 38
