onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
18.927	0.001	18928	Stimulus	S 40
28.074	0.001	28075	Stimulus	S 41
28.096	0.001	28097	Stimulus	S 44
30.164	0.001	30165	Stimulus	S  8
31.746	0.001	31747	Stimulus	S 24
32.317	0.001	32318	Stimulus	S 37
32.337	0.001	32338	Stimulus	S 38
34.01	0.001	34011	Stimulus	S  8
35.588	0.001	35589	Stimulus	S 21
36.012	0.001	36013	Stimulus	S 37
36.033	0.001	36034	Stimulus	S 38
37.843	0.001	37844	Stimulus	S  8
39.42	0.001	39421	Stimulus	S 21
39.98	0.001	39981	Stimulus	S 37
40	0.001	40001	Stimulus	S 38
41.676	0.001	41677	Stimulus	S  8
43.252	0.001	43253	Stimulus	S 23
43.74	0.001	43741	Stimulus	S 37
43.76	0.001	43761	Stimulus	S 39
47.287	0.001	47288	Stimulus	S  8
48.863	0.001	48864	Stimulus	S 24
49.564	0.001	49565	Stimulus	S 37
49.587	0.001	49588	Stimulus	S 38
51.124	0.001	51125	Stimulus	S  2
52.702	0.001	52703	Stimulus	S 18
53.148	0.001	53149	Stimulus	S 37
53.169	0.001	53170	Stimulus	S 38
54.963	0.001	54964	Stimulus	S  2
56.54	0.001	56541	Stimulus	S 20
57.148	0.001	57149	Stimulus	S 37
57.168	0.001	57169	Stimulus	S 38
58.795	0.001	58796	Stimulus	S  8
60.372	0.001	60373	Stimulus	S 24
61.164	0.001	61165	Stimulus	S 37
61.185	0.001	61186	Stimulus	S 38
62.63	0.001	62631	Stimulus	S  2
64.207	0.001	64208	Stimulus	S 17
64.604	0.001	64605	Stimulus	S 37
64.624	0.001	64625	Stimulus	S 38
66.463	0.001	66464	Stimulus	S  2
68.04	0.001	68041	Stimulus	S 19
68.556	0.001	68557	Stimulus	S 37
68.576	0.001	68577	Stimulus	S 38
70.294	0.001	70295	Stimulus	S  8
71.871	0.001	71872	Stimulus	S 23
72.444	0.001	72445	Stimulus	S 37
72.465	0.001	72466	Stimulus	S 38
74.128	0.001	74129	Stimulus	S  2
75.703	0.001	75704	Stimulus	S 18
76.204	0.001	76205	Stimulus	S 37
76.224	0.001	76225	Stimulus	S 39
79.482	0.001	79483	Stimulus	S  8
81.06	0.001	81061	Stimulus	S 22
81.692	0.001	81693	Stimulus	S 37
